OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,point,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
10030,Palou Ave&Phelps St E-NS/PS,PALUPHL1,PALUPHLP,5879,37.7361,-122.394535,0,PHELPS ST,PALOU AVE,NS,E,,0,04/20/2020 11:54:43 AM +0000,2207030,121,,"(37.73609505717943, -122.39452179301605)",87,2,9,1
10880,Noe St&29th St NW-FS/PS,NOE 29S0,NOE 29ST,5736,37.743311,-122.431179,0,29TH ST,NOE ST,NS,NW,,0,04/20/2020 11:54:43 AM +0000,2209092,121,,"(37.74330605925547, -122.4311657867064)",84,9,5,22
8936,16th St&Folsom St NW-FS/BZ,16STFOL1,,7289,37.7654,-122.415428,0,FOLSOM ST,16TH ST,,,,0,04/20/2020 11:54:43 AM +0000,2210163,121,,"(37.76539505628694, -122.41541478650372)",53,3,2,20
9799,The Embarcadero&Howard St SW-FS/SB,EMBRHWR0,EMBRHWRD,4520,37.792159,-122.391066,0,HOWARD ST,THE EMBARCADERO,FS,SW,,0,04/20/2020 11:54:43 AM +0000,2204363,121,,"(37.79215405230321, -122.39105278704399)",108,1,10,8
10290,Evans Ave&3RD St S-FS/SB,EVAN 3S1,EVAN 3ST,4547,37.742628,-122.387862,0,3RD ST,EVANS AVE,FS,S,,0,04/20/2020 11:54:43 AM +0000,2204532,121,,"(37.742623056154294, -122.3878487932597)",86,2,9,1
10743,Fillmore St&Haight St NW-NS/BZ,FILLHAI0,FILLHAIT,4618,37.772199,-122.430537,0,HAIGHT ST,FILLMORE ST,NS,NW,BZ,1,04/20/2020 11:54:43 AM +0000,2204502,121,,"(37.77219405683016, -122.43052378345858)",26,4,11,9
8782,18th St&Pennsylvania Ave NE-NS/BZ,18STPEN1,18STPENN,3342,37.762828,-122.393471,0,PENNSYLVANIA AVE,18TH ST,NS,NE,BZ,0,04/20/2020 11:54:43 AM +0000,2203021,121,,"(37.762823054896614, -122.39345779008411)",54,2,9,26
8923,Hermann St&Fillmore St SE-FS/BZ,HERMFIL0,HERMFILL,5018,37.770248,-122.429701,0,FILLMORE ST,HERMANN ST,FS,SE,BZ,0,04/20/2020 11:54:43 AM +0000,2204998,121,,"(37.770243056929665, -122.42968778380954)",28,7,5,9
11037,Union St&Fillmore St NW-FS/BZ,UNINFIL0,UNINFILL,6754,37.797124,-122.435661,0,FILLMORE ST,UNION ST,FS,NW,BZ,0,04/20/2020 11:54:43 AM +0000,2207505,121,,"(37.79711905515459, -122.43564777980166)",15,4,6,13
10914,Palou Ave&Industrial St E-NS/SB,PALUIND1,PALUINDS,5867,37.739529,-122.400547,0,INDUSTRIAL ST,PALOU AVE,NS,E,,0,04/20/2020 11:54:43 AM +0000,2206313,121,,"(37.73952405733452, -122.40053379172096)",82,2,9,1
7944,Geary Blvd&25TH Ave NE-NS/BZ,GEAR25A0,GEAR25AV,4269,37.78022,-122.48461,0,25TH AVE,GEARY BLVD,NS,NE,BZ,1,04/20/2020 11:54:43 AM +0000,2203837,121,,"(37.780215060120824, -122.48459677445852)",8,8,4,29
8609,Geary Blvd&17TH Ave SW-NS/BZ,GEAR17A1,GEAR17AV,4264,37.780365,-122.476263,0,17TH AVE,GEARY BLVD,NS,SW,BZ,1,04/20/2020 11:54:43 AM +0000,2203825,121,,"(37.78036005949902, -122.47624977568654)",5,8,4,29
7859,Silver Ave&Bayshore Blvd E-FS/BZ,SILVBSH0,SILVBSHR,6397,37.733052,-122.404365,0,BAY SHORE BLVD,SILVER AVE,FS,E,BZ,0,04/20/2020 11:54:43 AM +0000,2209282,121,,"(37.733047058147136, -122.40435179189842)",87,2,9,1
7707,Jackson St&Webster St NW-FS/BZ,JACKWEB1,JACKWEBS,5167,37.792716,-122.433025,0,WEBSTER ST,JACKSON ST,NS,NE,,0,04/20/2020 11:54:43 AM +0000,2205257,121,,"(37.792711055324254, -122.43301178070722)",102,4,6,30
10054,Geary Blvd&Scott St NE-NS/BZ,GEARSCO0,GEARSCOT,4760,37.783847,-122.437761,0,SCOTT ST,GEARY BLVD,NS,NE,BZ,0,04/20/2020 11:54:43 AM +0000,2204414,121,,"(37.783842056399614, -122.43774778102903)",103,4,11,15
10474,Cole St&Carl St NE-FS/BZ,COLECAR1,COLECARL,4091,37.76594,-122.449911,0,CARL ST,COLE ST,FS,NE,BZ,1,04/20/2020 11:54:43 AM +0000,2203630,121,,"(37.76593505875954, -122.44989778129067)",29,7,11,3
10445,Mission St&7th St W-FS/BZ,MISS 7S0,MISS 7ST,5539,37.77897,-122.41135,0,7TH ST,MISSION ST,FS,W,BZ,1,04/20/2020 11:54:43 AM +0000,2206691,121,,"(37.77896505487157, -122.41133678554078)",32,1,10,34
7867,Mission St&1st St N-NS/BZ,MISS 1S0,MISS 1ST,5528,37.78992,-122.39749,0,01ST ST,MISSION ST,NS,N,BZ,0,04/20/2020 11:54:43 AM +0000,2206967,121,,"(37.789915052957106, -122.39747678634295)",108,1,10,8
